data,dia,m̻s,ano,casos-confirmados,chuva,temperatura-media,temperatura-mininima,temperatura-maxima
1998-01-01,1,1,1998,237,179.2,25.7,20.2,28.1
1998-02-01,1,2,1998,331,226.3,25.1,20.0,28.0
1998-03-01,1,3,1998,562,149.1,24.8,22.4,27.2
1998-04-01,1,4,1998,187,46.4,22.7,18.1,26.0
1998-05-01,1,5,1998,32,88.3,19.2,15.7,22.9
1998-06-01,1,6,1998,11,21.2,18.0,15.4,21.2
1998-07-01,1,7,1998,6,7.9,19.0,13.5,22.9
1998-08-01,1,8,1998,4,15.6,21.7,17.0,25.7
1998-09-01,1,9,1998,7,88.1,21.9,18.9,26.1
1998-10-01,1,10,1998,7,167.3,21.9,18.4,24.6
1998-11-01,1,11,1998,5,55.4,23.4,20.3,27.3
1998-12-01,1,12,1998,8,309.1,24.3,20.6,28.1
1999-01-01,1,1,1999,7,420.3,25.1,21.3,28.5
1999-02-01,1,2,1999,12,228.1,24.6,22.5,26.3
1999-03-01,1,3,1999,27,140.5,24.5,21.8,26.6
1999-04-01,1,4,1999,49,48.9,21.6,13.0,26.6
1999-05-01,1,5,1999,8,47.1,18.7,13.6,22.3
1999-06-01,1,6,1999,3,70.1,17.8,14.2,21.0
1999-07-01,1,7,1999,1,,19.6,17.1,22.1
1999-08-01,1,8,1999,3,,19.8,10.8,24.8
1999-09-01,1,9,1999,3,64.3,21.3,15.0,25.7
1999-10-01,1,10,1999,0,36.6,21.5,15.0,28.2
1999-11-01,1,11,1999,0,87.3,21.7,15.0,26.2
1999-12-01,1,12,1999,4,176.5,24.0,21.0,27.4
2000-01-01,1,1,2000,6,293.8,24.6,21.5,26.9
2000-02-01,1,2,2000,11,251.7,24.4,20.0,26.1
2000-03-01,1,3,2000,21,132.6,24.0,21.5,26.2
2000-04-01,1,4,2000,15,0.8,22.4,18.0,25.0
2000-05-01,1,5,2000,8,3.2,19.6,15.6,24.4
2000-06-01,1,6,2000,4,4.9,20.0,15.6,22.6
2000-07-01,1,7,2000,4,83.0,17.3,8.2,22.1
2000-08-01,1,8,2000,3,67.4,20.0,13.0,25.7
2000-09-01,1,9,2000,0,76.9,21.2,15.5,25.3
2000-10-01,1,10,2000,2,60.3,25.0,20.8,27.8
2000-11-01,1,11,2000,2,276.7,23.5,17.6,25.6
2000-12-01,1,12,2000,5,216.7,23.9,17.9,26.6
2001-01-01,1,1,2001,32,167.7,25.0,23.2,27.2
2001-02-01,1,2,2001,38,316.9,25.3,22.8,26.7
2001-03-01,1,3,2001,160,114.1,24.7,21.5,26.4
2001-04-01,1,4,2001,223,26.8,23.7,20.8,25.9
2001-05-01,1,5,2001,136,89.9,19.3,13.6,25.1
2001-06-01,1,6,2001,21,20.2,19.0,10.6,23.0
2001-07-01,1,7,2001,13,11.4,19.2,12.4,23.4
2001-08-01,1,8,2001,10,27.5,20.9,19.0,23.2
2001-09-01,1,9,2001,2,72.2,21.4,14.0,25.2
2001-10-01,1,10,2001,2,251.9,22.4,19.1,26.0
2001-11-01,1,11,2001,5,104.4,24.2,19.8,26.6
2001-12-01,1,12,2001,86,203.3,23.6,20.4,26.2
2002-01-01,1,1,2002,224,219.9,24.3,20.4,26.6
2002-02-01,1,2,2002,364,126.3,23.1,21.3,25.3
2002-03-01,1,3,2002,348,117.1,25.4,22.9,27.6
2002-04-01,1,4,2002,266,21.9,24.7,22.5,26.3
2002-05-01,1,5,2002,156,96.8,21.1,17.2,23.8
2002-06-01,1,6,2002,50,,20.9,18.7,22.9
2002-07-01,1,7,2002,8,5.3,18.8,12.9,22.2
2002-08-01,1,8,2002,9,66.4,22.3,18.3,24.5
2002-09-01,1,9,2002,6,49.1,20.9,14.7,25.3
2002-10-01,1,10,2002,4,45.2,26.3,21.0,29.4
2002-11-01,1,11,2002,7,232.4,24.3,19.3,28.0
2002-12-01,1,12,2002,22,162.6,25.3,22.5,27.8
2003-01-01,1,1,2003,90,385.4,24.5,21.5,28.2
2003-02-01,1,2,2003,91,215.3,25.9,21.8,28.3
2003-03-01,1,3,2003,125,83.9,24.3,21.7,26.7
2003-04-01,1,4,2003,76,62.3,22.9,18.7,25.3
2003-05-01,1,5,2003,28,49.3,19.3,14.5,24.1
2003-06-01,1,6,2003,7,11.5,20.4,17.9,23.0
2003-07-01,1,7,2003,2,22.1,19.8,15.2,21.9
2003-08-01,1,8,2003,0,19.7,19.1,14.1,23.9
2003-09-01,1,9,2003,0,20.5,22.0,16.0,27.4
2003-10-01,1,10,2003,1,86.0,22.9,17.2,26.7
2003-11-01,1,11,2003,0,223.3,23.2,18.9,28.2
2003-12-01,1,12,2003,3,299.5,24.5,20.7,28.3
2004-01-01,1,1,2004,9,176.2,23.8,19.5,25.9
2004-02-01,1,2,2004,8,156.3,23.7,20.0,27.1
2004-03-01,1,3,2004,6,64.1,23.3,20.1,26.0
2004-04-01,1,4,2004,3,47.6,23.0,19.8,24.8
2004-05-01,1,5,2004,1,115.9,18.7,12.9,23.9
2004-06-01,1,6,2004,0,58.5,18.2,13.2,22.0
2004-07-01,1,7,2004,0,93.7,17.9,14.0,21.3
2004-08-01,1,8,2004,0,,19.9,14.7,23.8
2004-09-01,1,9,2004,0,27.5,24.2,19.5,27.7
2004-10-01,1,10,2004,0,201.0,21.3,14.6,25.7
2004-11-01,1,11,2004,0,117.4,23.2,19.3,26.6
2004-12-01,1,12,2004,3,177.5,23.7,19.4,26.3
2005-01-01,1,1,2005,5,452.8,24.2,19.0,26.9
2005-02-01,1,2,2005,7,96.7,24.3,21.7,27.9
2005-03-01,1,3,2005,8,308.1,24.4,21.1,27.3
2005-04-01,1,4,2005,38,43.1,24.0,17.8,26.9
2005-05-01,1,5,2005,29,163.1,21.1,17.7,23.8
2005-06-01,1,6,2005,17,44.1,20.1,16.7,22.1
2005-07-01,1,7,2005,8,6.1,18.6,14.1,22.4
2005-08-01,1,8,2005,2,16.2,21.3,15.5,26.9
2005-09-01,1,9,2005,2,49.1,21.0,16.5,25.1
2005-10-01,1,10,2005,0,203.1,24.2,18.7,27.3
2005-11-01,1,11,2005,0,38.7,23.3,20.3,26.7
2005-12-01,1,12,2005,3,138.4,23.6,21.3,25.9
2006-01-01,1,1,2006,8,239.4,25.2,20.9,27.6
2006-02-01,1,2,2006,24,184.7,24.8,21.9,27.7
2006-03-01,1,3,2006,187,203.1,25.0,21.7,27.8
2006-04-01,1,4,2006,292,27.2,21.9,19.2,23.8
2006-05-01,1,5,2006,129,6.1,18.8,15.8,21.4
2006-06-01,1,6,2006,31,19.8,19.1,14.7,21.4
2006-07-01,1,7,2006,7,33.8,19.3,13.2,22.7
2006-08-01,1,8,2006,16,12.9,21.2,16.4,25.0
2006-09-01,1,9,2006,10,67.6,21.0,13.4,26.9
2006-10-01,1,10,2006,17,56.5,23.4,19.9,26.9
2006-11-01,1,11,2006,10,184.7,23.7,18.1,28.1
2006-12-01,1,12,2006,11,229.2,25.0,23.0,27.5
2007-01-01,1,1,2007,169,404.1,24.1,21.8,26.4
2007-02-01,1,2,2007,922,86.0,25.4,22.5,27.2
2007-03-01,1,3,2007,3213,192.1,25.5,21.4,27.1
2007-04-01,1,4,2007,4207,97.0,24.0,19.8,27.9
2007-05-01,1,5,2007,2364,63.5,19.4,13.2,23.8
2007-06-01,1,6,2007,300,34.7,19.7,13.2,22.7
2007-07-01,1,7,2007,67,176.4,18.0,12.6,22.2
2007-08-01,1,8,2007,17,,20.8,18.0,23.5
2007-09-01,1,9,2007,35,7.5,23.5,16.5,27.8
2007-10-01,1,10,2007,49,100.4,24.9,18.2,28.8
2007-11-01,1,11,2007,57,169.6,23.1,20.1,27.6
2007-12-01,1,12,2007,42,144.4,24.6,20.8,27.8
2008-01-01,1,1,2008,40,188.0,23.7,19.3,28.5
2008-02-01,1,2,2008,37,233.7,24.3,22.5,26.0
2008-03-01,1,3,2008,72,179.4,23.8,17.9,26.6
2008-04-01,1,4,2008,79,147.5,22.5,19.9,25.6
2008-05-01,1,5,2008,21,51.0,18.8,15.0,22.1
2008-06-01,1,6,2008,10,59.9,19.0,15.2,21.9
2008-07-01,1,7,2008,8,,19.2,17.1,22.6
2008-08-01,1,8,2008,9,65.4,21.1,17.4,23.8
2008-09-01,1,9,2008,2,37.5,20.6,16.3,27.0
2008-10-01,1,10,2008,8,107.1,23.5,17.3,28.0
2008-11-01,1,11,2008,6,93.0,23.4,20.9,25.9
2008-12-01,1,12,2008,14,189.0,23.8,20.2,27.2
2009-01-01,1,1,2009,17,215.5,23.6,18.9,26.8
2009-02-01,1,2,2009,29,183.6,24.7,21.0,26.4
2009-03-01,1,3,2009,53,63.2,25.2,22.4,28.4
2009-04-01,1,4,2009,40,37.1,22.1,19.1,25.7
2009-05-01,1,5,2009,25,36.4,20.2,14.0,23.2
2009-06-01,1,6,2009,16,60.5,16.4,12.0,19.1
2009-07-01,1,7,2009,2,80.3,17.5,12.6,21.5
2009-08-01,1,8,2009,3,54.2,18.8,13.9,22.4
2009-09-01,1,9,2009,2,151.3,21.2,16.6,25.3
2009-10-01,1,10,2009,3,65.6,22.0,16.5,24.6
2009-11-01,1,11,2009,3,267.7,24.7,21.5,27.1
2009-12-01,1,12,2009,7,398.8,22.7,17.6,25.7
2010-01-01,1,1,2010,65,322.1,22.8,18.4,26.3
2010-02-01,1,2,2010,249,63.5,24.5,20.8,26.3
2010-03-01,1,3,2010,626,201.5,23.7,18.6,26.6
2010-04-01,1,4,2010,942,56.4,21.7,15.1,24.9
2010-05-01,1,5,2010,630,24.2,19.0,13.8,24.2
2010-06-01,1,6,2010,84,21.9,17.8,13.2,22.1
2010-07-01,1,7,2010,11,54.8,19.6,14.9,22.7
2010-08-01,1,8,2010,10,,19.6,13.5,24.3
2010-09-01,1,9,2010,5,68.6,22.1,15.9,26.4
2010-10-01,1,10,2010,5,61.8,21.6,16.3,26.8
2010-11-01,1,11,2010,8,115.4,23.2,19.7,27.2
2010-12-01,1,12,2010,12,201.7,24.2,19.3,26.3
2011-01-01,1,1,2011,68,403.6,22.7,18.9,26.4
2011-02-01,1,2,2011,288,166.8,24.9,21.3,26.4
2011-03-01,1,3,2011,658,218.2,22.6,18.4,26.4
2011-04-01,1,4,2011,1202,95.3,22.2,17.5,25.5
2011-05-01,1,5,2011,714,41.9,18.8,15.1,21.5
2011-06-01,1,6,2011,133,59.8,16.4,9.8,20.0
2011-07-01,1,7,2011,26,6.6,19.1,13.3,22.2
2011-08-01,1,8,2011,11,25.5,20.2,10.1,26.6
2011-09-01,1,9,2011,13,15.6,21.4,14.9,25.8
2011-10-01,1,10,2011,23,155.6,22.8,19.3,27.2
2011-11-01,1,11,2011,22,280.9,21.9,16.8,26.4
2011-12-01,1,12,2011,20,206.1,23.5,18.9,25.9
2012-01-01,1,1,2012,49,301.4,22.1,18.7,24.9
2012-02-01,1,2,2012,53,137.4,25.0,22.0,28.0
2012-03-01,1,3,2012,152,148.4,24.7,18.6,26.7
2012-04-01,1,4,2012,352,213.9,22.7,16.5,25.5
2012-05-01,1,5,2012,205,73.1,18.7,13.0,21.1
2012-06-01,1,6,2012,88,165.5,18.4,16.0,21.5
2012-07-01,1,7,2012,18,40.6,18.1,11.7,22.6
2012-08-01,1,8,2012,12,,20.3,17.5,21.6
2012-09-01,1,9,2012,8,24.3,22.3,12.2,27.0
2012-10-01,1,10,2012,6,100.7,24.6,18.5,29.0
2012-11-01,1,11,2012,11,93.9,23.9,20.5,27.8
2012-12-01,1,12,2012,25,133.3,25.9,21.4,28.2
2013-01-01,1,1,2013,145,252.9,23.6,17.5,26.3
2013-02-01,1,2,2013,496,136.5,24.6,20.5,27.5
2013-03-01,1,3,2013,1853,15.3,23.8,19.3,27.4
2013-04-01,1,4,2013,2703,93.3,21.8,18.3,25.9
2013-05-01,1,5,2013,1277,62.8,20.2,14.8,23.8
2013-06-01,1,6,2013,304,69.5,19.5,15.7,21.8
2013-07-01,1,7,2013,36,60.6,17.7,9.5,21.4
2013-08-01,1,8,2013,26,3.5,19.0,9.6,23.5
2013-09-01,1,9,2013,35,31.8,21.6,16.3,27.9
2013-10-01,1,10,2013,30,81.1,22.4,18.5,27.7
2013-11-01,1,11,2013,21,85.8,23.8,17.3,28.6
2013-12-01,1,12,2013,50,97.8,25.6,23.0,29.7
2014-01-01,1,1,2014,262,181.4,26.5,23.2,28.9
2014-02-01,1,2,2014,1660,14.1,27.2,23.5,30.1
2014-03-01,1,3,2014,7555,98.6,24.7,21.3,27.1
2014-04-01,1,4,2014,20428,61.9,22.9,18.3,26.4
2014-05-01,1,5,2014,10484,22.9,20.1,15.1,23.2
2014-06-01,1,6,2014,1342,9.2,20.1,16.2,22.8
2014-07-01,1,7,2014,149,28.2,18.8,14.1,23.4
2014-08-01,1,8,2014,55,12.2,20.6,13.1,24.7
2014-09-01,1,9,2014,40,69.2,23.0,18.6,26.8
2014-10-01,1,10,2014,40,15.6,24.7,17.2,30.0
2014-11-01,1,11,2014,57,154.8,25.0,22.1,28.3
2014-12-01,1,12,2014,37,232.8,24.9,21.3,27.8
